entry_datetime,entry_price,exit_datetime,exit_price,pnl%,trade_type
2025-01-02 10:00:00,3471.4079399999996,2025-01-03 15:00:00,3523.6628100000003,1.5052932672614843,long
2025-01-03 19:00:00,3609.19559,2025-01-06 03:00:00,3654.79155,1.263327488439044,long
2025-01-07 12:00:00,3642.9192799999996,2025-01-08 00:00:00,3377.9286899999997,-7.274127413550602,long
2025-01-12 09:00:00,3243.21998,2025-01-13 01:00:00,3305.24145,1.912342375246467,long
2025-01-13 07:00:00,3194.5613699999994,2025-01-13 15:00:00,3031.3656,-5.108550160675092,long
2025-01-15 22:00:00,3435.8324,2025-01-17 11:00:00,3424.0425299999997,-0.34314450262474855,long
2025-01-18 01:00:00,3491.1977099999995,2025-01-21 09:00:00,3250.8758700000003,-6.883650253081759,long
2025-01-22 19:00:00,3253.1899399999998,2025-01-23 07:00:00,3204.90189,-1.4843292549957807,long
2025-01-24 10:00:00,3404.78138,2025-01-25 17:00:00,3338.9377200000004,-1.933858672594117,long
2025-01-26 10:00:00,3301.7984999999994,2025-01-27 05:00:00,3153.98286,-4.476821950218918,long
2025-01-28 19:00:00,3147.2040599999996,2025-01-30 04:00:00,3198.2985,1.623486721099367,long
2025-01-31 14:00:00,3358.02467,2025-02-02 04:00:00,3074.90202,-8.43122602788977,long
2025-02-06 16:00:00,2708.27557,2025-02-07 12:00:00,2759.92731,1.9071818456051766,long
2025-02-09 22:00:00,2554.9323799999997,2025-02-11 06:00:00,2714.32296,6.238543972737178,long
2025-02-11 19:00:00,2613.3907799999997,2025-02-12 04:00:00,2584.64277,-1.1000272221056766,long
2025-02-15 15:00:00,2691.3786899999996,2025-02-21 11:00:00,2798.20899,3.969352228169735,long
2025-02-21 14:00:00,2839.15632,2025-02-22 16:00:00,2772.89433,-2.3338619833373606,long
2025-03-01 12:00:00,2186.6144299999996,2025-03-02 17:00:00,2440.09746,11.592488667515118,long
2025-03-03 15:00:00,2277.09482,2025-03-03 21:00:00,2127.03084,-6.590150690343216,long
2025-03-06 18:00:00,2193.3811899999996,2025-03-08 14:00:00,2188.01979,-0.24443539611095155,long
2025-03-09 11:00:00,2136.2340999999997,2025-03-09 18:00:00,2021.90607,-5.3518493127696045,long
2025-03-13 18:00:00,1828.77695,2025-03-14 17:00:00,1934.49357,5.7807279340435835,long
2025-03-16 10:00:00,1909.6577499999999,2025-03-17 19:00:00,1946.61144,1.9350949142588594,long
2025-03-19 12:00:00,2030.0279999999998,2025-03-24 07:00:00,2064.5633700000003,1.7012262885044205,long
2025-03-24 11:00:00,2096.3342399999997,2025-03-28 06:00:00,1913.70438,-8.711867435795918,long
2025-04-02 23:00:00,1799.8480499999998,2025-04-06 17:00:00,1729.54872,-3.9058480520063785,long
2025-04-08 16:00:00,1533.2917599999998,2025-04-09 04:00:00,1417.37121,-7.560240850704099,long
2025-04-10 16:00:00,1497.46597,2025-04-12 09:00:00,1590.16824,6.19060946006005,long
2025-04-12 19:00:00,1652.3206699999998,2025-04-14 11:00:00,1677.1611599999999,1.5033698029087856,long
2025-04-15 19:00:00,1612.0904799999998,2025-04-16 11:00:00,1580.0483700000002,-1.9876123826498608,long
2025-04-19 23:00:00,1621.0394199999998,2025-04-20 14:00:00,1575.9225,-2.7832093065324606,long
2025-04-21 04:00:00,1636.1845499999997,2025-04-22 03:00:00,1575.50292,-3.7087277226765116,long
2025-04-22 17:00:00,1693.4017099999999,2025-04-27 01:00:00,1840.19796,8.668719839665226,long
2025-04-28 01:00:00,1775.3635899999997,2025-04-29 09:00:00,1830.67749,3.1156378508359692,long
